㞎㞎	ba3 ba5
地平线	di4 ping2 xian4
地广人稀	di4 guang3 ren2 xi1
地底	di4 di3
地府	di4 fu3
地形	di4 xing2
地形图	di4 xing2 tu2
地心	di4 xin1
地心吸力	di4 xin1 xi1 li4
地心引力	di4 xin1 yin3 li4
地心纬度	di4 xin1 wei3 du4
地心说	di4 xin1 shuo1
地排车	di4 pai3 che1
地接	di4 jie1
地推	di4 tui1
地摊	di4 tan1
地支	di4 zhi1
地方	di4 fang1
地方主义	di4 fang1 zhu3 yi4
地方官	di4 fang1 guan1
地方性	di4 fang1 xing4
地方戏	di4 fang1 xi4
地方戏曲	di4 fang1 xi4 qu3
地方法院	di4 fang1 fa3 yuan4
地方自治	di4 fang1 zi4 zhi4
地景	di4 jing3
地暖	di4 nuan3
地板	di4 ban3
地板价	di4 ban3 jia4
地板砖	di4 ban3 zhuan1
地标	di4 biao1
地核	di4 he2
地栽	di4 zai1
地检署	di4 jian3 shu3
地步	di4 bu4
地段	di4 duan4
地毯	di4 tan3
地毯拖鞋	di4 tan3 tuo1 xie2
地沟油	di4 gou1 you2
地洞	di4 dong4
地滑	di4 hua2
地滚球	di4 gun3 qiu2
地漏	di4 lou4
地炉	di4 lu2
地点	di4 dian3
地热	di4 re4
地热电站	di4 re4 dian4 zhan4
地热能	di4 re4 neng2
地热资源	di4 re4 zi1 yuan2
地牛翻身	di4 niu2 fan1 shen1
地牢	di4 lao2
地狭人稠	di4 xia2 ren2 chou2
地狱	di4 yu4
地狱笑话	di4 yu4 xiao4 hua4
地球	di4 qiu2
地球仪	di4 qiu2 yi2
地球化学	di4 qiu2 hua4 xue2
地球村	di4 qiu2 cun1
地球物理	di4 qiu2 wu4 li3
地球磁场	di4 qiu2 ci2 chang3
地球科学	di4 qiu2 ke1 xue2
地球轨道	di4 qiu2 gui3 dao4
地理	di4 li3
地理位置	di4 li3 wei4 zhi5
地理学	di4 li3 xue2
地理学家	di4 li3 xue2 jia1
地理定位	di4 li3 ding4 wei4
地理极	di4 li3 ji2
地理纬度	di4 li3 wei3 du4
地瓜	di4 gua1
地瓜干	di4 gua1 gan1
地瓜面	di4 gua1 mian4
地瓜鸟	di4 gua1 niao3
地痞	di4 pi3
地皮	di4 pi2
地盘	di4 pan2
地砖	di4 zhuan1
地磁	di4 ci2
地磁场	di4 ci2 chang3
地磁暴	di4 ci2 bao4
地祇	di4 qi2
地租	di4 zu1
地积	di4 ji1
地税	di4 shui4
地穴	di4 xue2
地窄人稠	di4 zhai3 ren2 chou2
地窖	di4 jiao4
地窨	di4 yin4
地窨子	di4 yin4 zi5
地笼	di4 long2
地籍	di4 ji2
地精	di4 jing1
地级	di4 ji2
地级市	di4 ji2 shi4
地线	di4 xian4
地缘	di4 yuan2
地缘战略	di4 yuan2 zhan4 lve4
地缘政治	di4 yuan2 zheng4 zhi4
地老天荒	di4 lao3 tian1 huang1
地脉	di4 mai4
地脚	di4 jiao3
地衣	di4 yi1
地表	di4 biao3
地表水	di4 biao3 shui3
地西泮	di4 xi1 pan4
地角天涯	di4 jiao3 tian1 ya2
地调	di4 diao4
地貌	di4 mao4
地质	di4 zhi4
地质学	di4 zhi4 xue2
地质学家	di4 zhi4 xue2 jia1
地质年表	di4 zhi4 nian2 biao3
地躺拳	di4 tang3 quan2
地轴	di4 zhou2
地返	di4 fan3
地速	di4 su4
地道	di4 dao5
地邻	di4 lin2
地钱	di4 qian2
地铁	di4 tie3
地铁站	di4 tie3 zhan4
地陪	di4 pei2
地雷	di4 lei2
地震	di4 zhen4
地震仪	di4 zhen4 yi2
地震区	di4 zhen4 qu1
地震学	di4 zhen4 xue2
地震学家	di4 zhen4 xue2 jia1
地震局	di4 zhen4 ju2
地震带	di4 zhen4 dai4
地震波	di4 zhen4 bo1
地震烈度	di4 zhen4 lie4 du4
地震速报	di4 zhen4 su4 bao4
地面	di4 mian4
地面层	di4 mian4 ceng2
地面控制	di4 mian4 kong4 zhi4
地面气压	di4 mian4 qi4 ya1
地面水	di4 mian4 shui3
地面灌溉	di4 mian4 guan4 gai4
地面部队	di4 mian4 bu4 dui4
地面零点	di4 mian4 ling2 dian3
地鳖	di4 bie1
地黄	di4 huang2
地龙	di4 long2
场儿	chang3 r5
场地	chang3 di4
场院	chang2 yuan4
坎儿	kan3 r5
坎儿井	kan3 r5 jing3
坎肩儿	kan3 jian1 r5
坏东西	huai4 dong1 xi5
坏分子	huai4 fen4 zi3
坏包儿	huai4 bao1 r5
坏处	huai4 chu5
坐下	zuo4 xia5
坑坑洼洼	keng1 keng5 wa1 wa1
坑蒙	keng1 meng1
坑蒙拐骗	keng1 meng1 guai3 pian4
块儿八毛	kuai4 r5 ba1 mao2
坟地	fen2 di4
坦率	tan3 shuai4
坨儿	tuo2 r5
坯模	pi1 mu2
坷垃	ke1 la1
垂死挣扎	chui2 si3 zheng1 zha2
垫底儿	dian4 di3 r5
垫脚	dian4 jiao5
垫补	dian4 bu5
埋天怨地	man2 tian1 yuan4 di4
埋怨	man2 yuan4
埋汰	mai2 tai5
埋没	mai2 mo4
城巴佬	cheng2 ba5 lao3
基地	ji1 di4
基本上	ji1 ben3 shang5
基本粒子	ji1 ben3 li4 zi3
堂妹夫	tang2 mei4 fu5
堂姐夫	tang2 jie3 fu5
堆案盈几	dui1 an4 ying2 ji1
堡子	bu3 zi5
塔刹	ta3 cha4
塞子	sai1 zi5
塞尺	sai1 chi3
塞渊	sai1 yuan1
塞满	sai1 man3
塞牙	sai1 ya2
塞特犬	sai4 te4 quan3
塞给	sai1 gei3
塞翁失马	sai4 weng1 shi1 ma3
塞耳	sai1 er3
塞车	sai1 che1
填地	tian2 di4
填空	tian2 kong4
塬地	yuan2 di4
境地	jing4 di4
墓地	mu4 di4
增长	zeng1 zhang3
增长率	zeng1 zhang3 lv4
墨斗	mo4 dou3
墨水儿	mo4 shui3 r5
壁塞	bi4 sai1
士子	shi4 zi3
壬子	ren2 zi3
壮实	zhuang4 shi5
声乐	sheng1 yue4
声名狼藉	sheng1 ming2 lang2 ji2
壳儿	ke2 r5
壳菜	qiao4 cai4
壳质	qiao4 zhi4
壳郎猪	ke2 lang5 zhu1
处世	chu3 shi4
处世之道	chu3 shi4 zhi1 dao4
处世原则	chu3 shi4 yuan2 ze2
处之泰然	chu3 zhi1 tai4 ran2
处事	chu3 shi4
处事原则	chu3 shi4 yuan2 ze2
处于	chu3 yu2
处决	chu3 jue2
处分	chu3 fen4
处刑	chu3 xing2
处变不惊	chu3 bian4 bu4 jing1
处在	chu3 zai4
处境	chu3 jing4
处女	chu3 nv3
处女作	chu3 nv3 zuo4
处女膜	chu3 nv3 mo2
处女航	chu3 nv3 hang2
处子	chu3 zi3
处子秀	chu3 zi3 xiu4
处心积虑	chu3 xin1 ji1 lv4
处方	chu3 fang1
处方药	chu3 fang1 yao4
处死	chu3 si3
处治	chu3 zhi4
处理	chu3 li3
处理器	chu3 li3 qi4
处理者	chu3 li3 zhe3
处理能力	chu3 li3 neng2 li4
处男	chu3 nan2
处罚	chu3 fa2
处置	chu3 zhi4
处警	chu3 jing3
处长	chu4 zhang3
复辟	fu4 bi4
夕发朝至	xi1 fa1 zhao1 zhi4
外交部长	wai4 jiao1 bu4 zhang3
外地	wai4 di4
外地人	wai4 di4 ren2
外场人	wai4 chang2 ren2
外头	wai4 tou5
外子	wai4 zi3
外孙女儿	wai4 sun1 nv3 r5
外强中干	wai4 qiang2 zhong1 gan1
外显子	wai4 xian3 zi3
外爷	wai4 ye5
外甥女	wai4 sheng5 nv3
外甥女婿	wai4 sheng5 nv3 xu5
外甥媳妇	wai4 sheng5 xi2 fu4
外相	wai4 xiang4
外行	wai4 hang2
外边	wai4 bian5
外边儿	wai4 bian5 r5
外长	wai4 zhang3
外飞地	wai4 fei1 di4
夙愿得偿	su4 yuan4 de2 chang2
多个	duo1 ge5
多劳多得	duo1 lao2 duo1 de2
多咱	duo1 zan5
多子多福	duo1 zi3 duo1 fu2
多水分	duo1 shui3 fen4
多灾多难	duo1 zai1 duo1 nan4
多目的	duo1 mu4 di4
多站地址	duo1 zhan4 di4 zhi3
多粒子	duo1 li4 zi3
多累	duo1 lei4
多菲什	duo1 fei1 shi2
多重	duo1 chong2
多重国籍	duo1 chong2 guo2 ji2
多重性	duo1 chong2 xing4
多重结局	duo1 chong2 jie2 ju2
多难兴邦	duo1 nan4 xing1 bang1
夜宵儿	ye4 xiao1 r5
夜曲	ye4 qu3
夜盆儿	ye4 pen2 r5
夜里	ye4 li5
够不着	gou4 bu5 zhao2
够得着	gou4 de5 zhao2
够意思	gou4 yi4 si5
够朋友	gou4 peng2 you5
大丈夫	da4 zhang4 fu5
大不了	da4 bu5 liao3
大不列蹀	da4 bu5 lie1 die1
大个儿	da4 ge4 r5
大中学生	da4 zhong1 xue2 sheng5
大为	da4 wei2
大人	da4 ren5
大伙儿	da4 huo3 r5
大伯子	da4 bai3 zi5
大便干燥	da4 bian4 gan1 zao4
大分子	da4 fen1 zi3
大动干戈	da4 dong4 gan1 ge1
大厦将倾	da4 sha4 jiang1 qing1
大只	da4 zhi1
大嘴巴	da4 zui3 ba5
大地	da4 di4
大地主	da4 di4 zhu3
大地线	da4 di4 xian4
大墓地	da4 mu4 di4
大家伙儿	da4 jia1 huo3 r5
大将军	da4 jiang1 jun1
大小姐	da4 xiao3 jie5
大尾巴狼	da4 yi3 ba5 lang2
大差不差	da4 cha4 bu4 cha4
大拇指	da4 mu5 zhi3
大方	da4 fang5
大晚上	da4 wan3 shang5
大有作为	da4 you3 zuo4 wei2
大有可为	da4 you3 ke3 wei2
大模大样	da4 mu2 da4 yang4
大气儿	da4 qi4 r5
大氧吧	da4 yang3 ba1
大汗	da4 han2
大爷	da4 ye5
大猩猩	da4 xing1 xing5
大而无当	da4 er2 wu2 dang4
大腕儿	da4 wan4 r5
大腹便便	da4 fu4 pian2 pian2
大舌头	da4 she2 tou5
大萝卜	da4 luo2 bo5
大轴戏	da4 zhou4 xi4
大道理	da4 dao4 li5
大部分	da4 bu4 fen5
大都会	da4 du1 hui4
大都市	da4 du1 shi4
大难	da4 nan4
大难不死	da4 nan4 bu4 si3
大难临头	da4 nan4 lin2 tou2
大马哈鱼	da4 ma3 ha3 yu2
大麻哈鱼	da4 ma2 ha3 yu2
天儿	tian1 r5
天公地道	tian1 gong1 di4 dao4
天分	tian1 fen4
天南地北	tian1 nan2 di4 bei3
天和	tian1 hu2
天哪	tian1 na5
天地	tian1 di4
天地悬隔	tian1 di4 xuan2 ge2
天地玄黄	tian1 di4 xuan2 huang2
天地良心	tian1 di4 liang2 xin1
天子	tian1 zi3
天寒地冻	tian1 han2 di4 dong4
天崩地裂	tian1 beng1 di4 lie4
天差地别	tian1 cha1 di4 bie2
天差地远	tian1 cha1 di4 yuan3
天干	tian1 gan1
天底下	tian1 di3 xia5
天悬地隔	tian1 xuan2 di4 ge2
天旋地转	tian1 xuan2 di4 zhuan4
天灾地孽	tian1 zai1 di4 nie4
天煞孤星	tian1 sha4 gu1 xing1
天竺牡丹	tian1 zhu2 mu3 dan5
天经地义	tian1 jing1 di4 yi4
天罗地网	tian1 luo2 di4 wang3
天翻地覆	tian1 fan1 di4 fu4
天老儿	tian1 lao3 r5
天老爷	tian1 lao3 ye5
天荒地老	tian1 huang1 di4 lao3
天造地设	tian1 zao4 di4 she4
天长地久	tian1 chang2 di4 jiu3
天雨路滑	tian1 yu4 lu4 hua2
太太	tai4 tai5
太子	tai4 zi3
太子党	tai4 zi3 dang3
太子太保	tai4 zi3 tai4 bao3
太爷爷	tai4 ye2 ye5
太监	tai4 jian4
太阳	tai4 yang5
太阳蛋	tai4 yang5 dan4
太阳黑子	tai4 yang2 hei1 zi3
夫人	fu1 ren5
夫妻相	fu1 qi1 xiang4
夫子	fu1 zi3
央告	yang1 gao5
央行	yang1 hang2
失地	shi1 di4
失当	shi1 dang4
失着	shi1 zhao1
失而复得	shi1 er2 fu4 de2
失调	shi1 tiao2
失调电压	shi1 tiao2 dian4 ya1
失身分	shi1 shen1 fen4
头倒立	tou2 dao4 li4
头儿	tou2 r5
头儿脑儿	tou2 r5 nao3 r5
头半天儿	tou2 ban4 tian1 r5
头发	tou2 fa5
头昏目晕	tou2 hun1 mu4 yun1
头昏眼晕	tou2 hun1 yan3 yun1
头晕	tou2 yun1
头晕目眩	tou2 yun1 mu4 xuan4
头晕眼花	tou2 yun1 yan3 hua1
头晕脑胀	tou2 yun1 nao3 zhang4
头箍儿	tou2 gu1 r5
头脑清楚	tou2 nao3 qing1 chu5
头脸儿	tou2 lian3 r5
夷为平地	yi2 wei2 ping2 di4
夸下海口	kua1 xia5 hai3 kou3
夹娃娃	jia1 wa2 wa5
夹娃娃机	jia1 wa2 wa5 ji1
夹尾巴	jia1 wei3 ba5
夹当儿	jia1 dang1 r5
夹心饼干	jia1 xin1 bing3 gan1
夹脚拖鞋	jia2 jiao3 tuo1 xie2
夹袄	jia2 ao3
夹起尾巴	jia1 qi3 wei3 ba5
夺冠	duo2 guan4
夺得	duo2 de2
奇偶	ji1 ou3
奇偶性	ji1 ou3 xing4
奇函数	ji1 han2 shu4
奇差	qi2 cha4
奇数	ji1 shu4
奇羡	ji1 xian4
奇蹄目	ji1 ti2 mu4
奇蹄类	ji1 ti2 lei4
奉为圭臬	feng4 wei2 gui1 nie4
奉子成婚	feng4 zi3 cheng2 hun1
奉承	feng4 cheng5
奉承讨好	feng4 cheng5 tao3 hao3
奉还	feng4 huan2
奏乐	zou4 yue4
奏鸣曲	zou4 ming2 qu3
奏鸣曲式	zou4 ming2 qu3 shi4
契子	qi4 zi3
奔三	ben4 san1
奔丧	ben1 sang1
奔四	ben4 si4
奔头	ben4 tou5
奔头儿	ben4 tou5 r5
奔月	ben4 yue4
套交情	tao4 jiao1 qing5
套儿	tao4 r5
套口供	tao4 kou3 gong4
套套	tao4 tao5
套曲	tao4 qu3
套种	tao4 zhong4
套色	tao4 shai3
套衫儿	tao4 shan1 r5
奠都	dian4 du1
奢靡	she1 mi2
女主角	nv3 zhu3 jue2
女人家	nv3 ren2 jia5
女体盛	nv3 ti3 cheng2
女傧相	nv3 bin1 xiang4
女公子	nv3 gong1 zi3
女婿	nv3 xu5
女子	nv3 zi3
女孩儿	nv3 hai2 r5
女性厌恶	nv3 xing4 yan4 wu4
女朋友	nv3 peng2 you5
女红	nv3 gong1
奴才	nu2 cai5
奶嘴儿	nai3 zui3 r5
奶奶	nai3 nai5
奶奶灰	nai3 nai5 hui1
奶奶的	nai3 nai5 de5
奶拽	nai3 zhuai3
奸细	jian1 xi5
好不好	hao3 bu5 hao3
好为人师	hao4 wei2 ren2 shi1
好久不见	hao3 jiu3 bu5 jian4
好事之徒	hao4 shi4 zhi1 tu2
好事者	hao4 shi4 zhe3
好动	hao4 dong4
好吃懒做	hao4 chi1 lan3 zuo4
好处	hao3 chu5
好大喜功	hao4 da4 xi3 gong1
好奇	hao4 qi2
好奇尚异	hao4 qi2 shang4 yi4
好奇心	hao4 qi2 xin1
好好儿	hao3 hao1 r5
好好先生	hao3 hao3 xian1 sheng5
好学	hao4 xue2
好客	hao4 ke4
好家伙	hao3 jia1 huo5
好强	hao4 qiang2
好恶	hao4 wu4
好意思	hao3 yi4 si5
好战	hao4 zhan4
好整以暇	hao4 zheng3 yi3 xia2
好斗	hao4 dou4
好朋友	hao3 peng2 you5
好氧	hao4 yang3
好玩儿	hao3 wan2 r5
好胜	hao4 sheng4
好自为之	hao3 zi4 wei2 zhi1
好色	hao4 se4
好色之徒	hao4 se4 zhi1 tu2
好起来	hao3 qi3 lai5
好辩	hao4 bian4
好逸恶劳	hao4 yi4 wu4 lao2
好酒贪杯	hao4 jiu3 tan1 bei1
好面子	hao4 mian4 zi5
好高骛远	hao4 gao1 wu4 yuan3
如其所好	ru2 qi2 suo3 hao4
如夫人	ru2 fu1 ren5
如数家珍	ru2 shu3 jia1 zhen1
如法炮制	ru2 fa3 pao2 zhi4
如鱼得水	ru2 yu2 de2 shui3
妄为	wang4 wei2
妄自菲薄	wang4 zi4 fei3 bo2
妇道人家	fu4 dao5 ren2 jia5
妈咪	ma1 mi5
妈妈	ma1 ma5
妈妈桑	ma1 ma5 sang1
妖精	yao1 jing5
妞妞	niu1 niu5
妥帖	tuo3 tie1
妥当	tuo3 dang5
妯娌	zhou2 li5
妹夫	mei4 fu5
妹妹	mei4 mei5
妹妹头	mei4 mei5 tou2
妻子	qi1 zi3
妻离子散	qi1 li2 zi3 san4
姆妈	m1 ma1
姊夫	zi3 fu5
姐们儿	jie3 men5 r5
姐夫	jie3 fu5
姐姐	jie3 jie5
姑夫	gu1 fu5
姑奶奶	gu1 nai3 nai5
姑姑	gu1 gu5
姑姥姥	gu1 lao3 lao5
姑娘	gu1 niang5
姑父	gu1 fu5
姑爷	gu1 ye5
委员长	wei3 yuan2 zhang3
委屈	wei3 qu5
委蛇	wei1 yi2
姘头	pin1 tou5
姥姥	lao3 lao5
姥爷	lao3 ye5
姨太太	yi2 tai4 tai5
姨夫	yi2 fu5
姨奶奶	yi2 nai3 nai5
姨姥姥	yi2 lao3 lao5
姨父	yi2 fu5
威亚	wei1 ya3
威信扫地	wei1 xin4 sao3 di4
威化饼干	wei1 hua4 bing3 gan1
威吓	wei1 he4
威慑力量	wei1 she4 li4 liang5
娃娃	wa2 wa5
娃娃亲	wa2 wa5 qin1
娃娃兵	wa2 wa5 bing1
娃娃生	wa2 wa5 sheng1
娃娃脸	wa2 wa5 lian3
娃娃菜	wa2 wa5 cai4
娃娃装	wa2 wa5 zhuang1
娃娃车	wa2 wa5 che1
娃娃音	wa2 wa5 yin1
娃娃鱼	wa2 wa5 yu2
娇嫩	jiao1 nen5
娘儿们	niang2 r5 men5
娘娘	niang2 niang5
娘娘腔	niang2 niang5 qiang1
娘子	niang2 zi3
娘家姓	niang2 jia5 xing4
婆娘	po2 niang5
婆婆	po2 po5
婆婆妈妈	po2 po5 ma1 ma1
婚假	hun1 jia4
婚姻调解	hun1 yin1 tiao2 jie3
婶婶	shen3 shen5
媒人	mei2 ren5
媳妇儿	xi2 fu4 r5
嫁妆	jia4 zhuang5
嫂嫂	sao3 sao5
嫌恶	xian2 wu4
嫡子	di2 zi3
嬷嬷	mo2 mo5
子丑	zi3 chou3
子丑寅卯	zi3 chou3 yin2 mao3
子京	zi3 jing1
子代	zi3 dai4
子供向	zi3 gong1 xiang4
子儿	zi3 r5
子公司	zi3 gong1 si1
子午线	zi3 wu3 xian4
子句	zi3 ju4
子叶	zi3 ye4
子品牌	zi3 pin3 pai2
子嗣	zi3 si4
子囊菌	zi3 nang2 jun1
子域	zi3 yu4
子夜	zi3 ye4
子女	zi3 nv3
子子孙孙	zi3 zi3 sun1 sun1
子孙	zi3 sun1
子孙娘娘	zi3 sun1 niang2 niang5
子孝父慈	zi3 xiao4 fu4 ci2
子宫	zi3 gong1
子宫壁	zi3 gong1 bi4
子宫托	zi3 gong1 tuo1
子宫环	zi3 gong1 huan2
子宫肌瘤	zi3 gong1 ji1 liu2
子宫颈	zi3 gong1 jing3
子宫颈癌	zi3 gong1 jing3 ai2
子宫颈管	zi3 gong1 jing3 guan3
子层	zi3 ceng2
子弟	zi3 di4
子弹	zi3 dan4
子房	zi3 fang2
子承父业	zi3 cheng2 fu4 ye4
子时	zi3 shi2
子曰	zi3 yue1
子模型	zi3 mo2 xing2
子母	zi3 mu3
子母弹	zi3 mu3 dan4
子母扣	zi3 mu3 kou4
子母炮弹	zi3 mu3 pao4 dan4
子母炸弹	zi3 mu3 zha4 dan4
子民	zi3 min2
子爵	zi3 jue2
子癫前症	zi3 dian1 qian2 zheng4
子目	zi3 mu4
子目录	zi3 mu4 lu4
子程序	zi3 cheng2 xu4
子空间	zi3 kong1 jian1
子粒	zi3 li4
子系统	zi3 xi4 tong3
子级	zi3 ji2
子细胞	zi3 xi4 bao1
子网	zi3 wang3
子群	zi3 qun2
子菜单	zi3 cai4 dan1
子虚乌有	zi3 xu1 wu1 you3
子规	zi3 gui1
子集	zi3 ji2
子集合	zi3 ji2 he2
子音	zi3 yin1
子鼠	zi3 shu3
孑孑为义	jie2 jie2 wei2 yi4
孕吐	yun4 tu4
字号	zi4 hao5
字帖儿	zi4 tie3 r5
字里行间	zi4 li3 hang2 jian1
孙女儿	sun1 nv3 r5
孙女婿	sun1 nv3 xu5
孝子	xiao4 zi3
孝道	xiao4 dao5
孢子	bao1 zi3
季子	ji4 zi3
季相	ji4 xiang4
孤哀子	gu1 ai1 zi3
孤子	gu1 zi3
孤立子	gu1 li4 zi3
孤立子波	gu1 li4 zi3 bo1
孤身只影	gu1 shen1 zhi1 ying3
学子	xue2 zi3
学生	xue2 sheng5
学生会	xue2 sheng5 hui4
学生证	xue2 sheng5 zheng4
学生运动	xue2 sheng5 yun4 dong4
学长	xue2 zhang3
孩儿	hai2 r5
孱头	can4 tou5
孱弱	chan2 ruo4
孺子	ru2 zi3
孺子可教	ru2 zi3 ke3 jiao4
孽子	nie4 zi3
宁可	ning4 ke3
宁左勿右	ning4 zuo3 wu4 you4
宁愿	ning4 yuan4
宁死不屈	ning4 si3 bu4 qu1
宁缺勿滥	ning4 que1 wu4 lan4
宁缺毋滥	ning4 que1 wu2 lan4
宁肯	ning4 ken3
宅度假	zhai2 du4 jia4
守丧	shou3 sang1
守住	shou3 zhu5
守分	shou3 fen4
守正不阿	shou3 zheng4 bu4 e1
守规矩	shou3 gui1 ju5
安分	an1 fen4
安分守己	an1 fen4 shou3 ji3
安南子	an1 nan2 zi3
安得	an1 de2
安步当车	an1 bu4 dang4 che1
安石榴	an1 shi2 liu5
安闲自在	an1 xian2 zi4 zai5
安闲自得	an1 xian2 zi4 de2
安难	an1 nan4
安魂弥撒	an1 hun2 mi2 sa5
完型填空	wan2 xing2 tian2 kong4
完形填空	wan2 xing2 tian2 kong4
宏观调控	hong2 guan1 tiao2 kong4
宗地	zong1 di4
官司	guan1 si5
官子	guan1 zi3
官差	guan1 chai1
官房长官	guan1 fang2 zhang3 guan1
官老爷	guan1 lao3 ye5
定冠词	ding4 guan4 ci2
定分	ding4 fen4
定子	ding4 zi3
定当	ding4 dang4
定钱	ding4 qian5
宝地	bao3 di4
宝宝	bao3 bao5
宝葫芦	bao3 hu2 lu5
宝藏	bao3 zang4
宝贝儿	bao3 bei4 r5
实受资本	shi2 shou5 zi1 ben3
实地	shi2 di4
实地访视	shi2 di4 fang3 shi4
实相	shi2 xiang4
审判长	shen3 pan4 zhang3
审处	shen3 chu3
审度	shen3 duo2
审度时势	shen3 duo2 shi2 shi4
审时度势	shen3 shi2 duo2 shi4
审校	shen3 jiao4
审计长	shen3 ji4 zhang3
客气	ke4 qi5
客气话	ke4 qi5 hua4
室内乐	shi4 nei4 yue4
宫观	gong1 guan4
宰相	zai3 xiang4
害处	hai4 chu5
家什	jia1 shi5
家伙	jia1 huo5
家八哥	jia1 ba1 ge5
家常豆腐	jia1 chang2 dou4 fu5
家庭地址	jia1 ting2 di4 zhi3
家当	jia1 dang4
家给人足	jia1 ji3 ren2 zu2
家长	jia1 zhang3
家长会	jia1 zhang3 hui4
家长制	jia1 zhang3 zhi4
家雀儿	jia1 qiao3 r5
容不得	rong2 bu5 de2
宽大为怀	kuan1 da4 wei2 huai2
宽心丸儿	kuan1 xin1 wan2 r5
宽敞	kuan1 chang5
宽绰	kuan1 chuo5
宿分	su4 fen4
宿营地	su4 ying2 di4
寄子	ji4 zi3
密密匝匝	mi4 mi5 za1 za1
密密实实	mi4 mi5 shi2 shi5
密密层层	mi4 mi5 ceng2 ceng2
密密麻麻	mi4 mi5 ma2 ma2
富余	fu4 yu5
富态	fu4 tai5
寒假	han2 jia4
寒暑假	han2 shu3 jia4
察察为明	cha2 cha2 wei2 ming2
寡妇	gua3 fu5
寥寥可数	liao2 liao2 ke3 shu3
对不住	dui4 bu5 zhu4
对不起	dui4 bu5 qi3
对付	dui4 fu5
对劲儿	dui4 jin4 r5
对口相声	dui4 kou3 xiang4 sheng1
对味儿	dui4 wei4 r5
对地	dui4 di4
对工儿	dui4 gong1 r5
对心儿	dui4 xin1 r5
对牛弹琴	dui4 niu2 tan2 qin2
对称	dui4 chen4
对称性	dui4 chen4 xing4
对称破缺	dui4 chen4 po4 que1
对称空间	dui4 chen4 kong1 jian1
对称美	dui4 chen4 mei3
对称轴	dui4 chen4 zhou2
对茬儿	dui4 cha2 r5
寻摸	xun2 mo5
寻的	xun2 di4
寿数	shou4 shu5
封地	feng1 di4
封妻荫子	feng1 qi1 yin4 zi3
封禅	feng1 shan4
射中	she4 zhong4
射干	she4 gan1
射频干扰	she4 pin2 gan1 rao3
将今论古	jiang1 jin1 lun4 gu3
将会	jiang1 hui4
将伯	qiang1 bo2
将伯之助	qiang1 bo2 zhi1 zhu4
将信将疑	jiang1 xin4 jiang1 yi2
将军	jiang1 jun1
将军肚	jiang1 jun1 du4
将军肚子	jiang1 jun1 du4 zi5
将功折罪	jiang1 gong1 zhe2 zui4
将功补过	jiang1 gong1 bu3 guo4
将功赎罪	jiang1 gong1 shu2 zui4
将勤补拙	jiang1 qin2 bu3 zhuo1
将就	jiang1 jiu5
将心比心	jiang1 xin1 bi3 xin1
将息	jiang1 xi1
将来	jiang1 lai2
将死	jiang1 si3
将至	jiang1 zhi4
将要	jiang1 yao4
将计就计	jiang1 ji4 jiu4 ji4
将近	jiang1 jin4
将错就错	jiang1 cuo4 jiu4 cuo4
尊长	zun1 zhang3
小不点	xiao3 bu5 dian3
小两口儿	xiao3 liang3 kou3 r5
小人得志	xiao3 ren2 de2 zhi4
小伙儿	xiao3 huo3 r5
小传	xiao3 zhuan4
小便宜	xiao3 pian2 yi5
小便斗	xiao3 bian4 dou3
小偷儿	xiao3 tou1 r5
小哥哥	xiao3 ge1 ge5
小夜曲	xiao3 ye4 qu3
小太太	xiao3 tai4 tai5
小妹妹	xiao3 mei4 mei5
小姐	xiao3 jie5
小姐姐	xiao3 jie3 jie5
小娃娃	xiao3 wa2 wa5
小媳妇	xiao3 xi2 fu5
小孩儿	xiao3 hai2 r5
小弟弟	xiao3 di4 di5
小心地滑	xiao3 xin1 di4 hua2
小心眼儿	xiao3 xin1 yan3 r5
小意思	xiao3 yi4 si5
小抄儿	xiao3 chao1 r5
小插曲	xiao3 cha1 qu3
小摊儿	xiao3 tan1 r5
小日本儿	xiao3 ri4 ben3 r5
小时候	xiao3 shi2 hou5
小时候儿	xiao3 shi2 hou5 r5
小曲	xiao3 qu3
小本生意	xiao3 ben3 sheng1 yi5
小步舞曲	xiao3 bu4 wu3 qu3
小毛头	xiao3 mao2 tou5
小白脸儿	xiao3 bai2 lian3 r5
小红萝卜	xiao3 hong2 luo2 bo5
小聪明	xiao3 cong1 ming5
小苇鳽	xiao3 wei3 jian1
小苏打	xiao3 su1 da2
小菜儿	xiao3 cai4 r5
小萝卜头	xiao3 luo2 bo5 tou5
小虾米	xiao3 xia1 mi5
小辫儿	xiao3 bian4 r5
小道消息	xiao3 dao4 xiao1 xi5
小里小气	xiao3 li5 xiao3 qi4
少不了	shao3 bu5 liao3
少不得	shao3 bu5 de2
少不更事	shao4 bu4 geng1 shi4
少不经事	shao4 bu4 jing1 shi4
少东	shao4 dong1
少东家	shao4 dong1 jia1
少儿	shao4 er2
少儿不宜	shao4 er2 bu4 yi2
少壮	shao4 zhuang4
少壮派	shao4 zhuang4 pai4
少女	shao4 nv3
少奶奶	shao4 nai3 nai5
少妇	shao4 fu4
少子化	shao3 zi3 hua4
少将	shao4 jiang4
少尉	shao4 wei4
少年	shao4 nian2
少年之家	shao4 nian2 zhi1 jia1
少年人	shao4 nian2 ren2
少年犯	shao4 nian2 fan4
少年老成	shao4 nian2 lao3 cheng2
少府	shao4 fu3
少校	shao4 xiao4
