㞎㞎	ba3 ba5
不着痕迹	bu4 zhuo2 hen2 ji4
不着边际	bu4 zhuo2 bian1 ji4
不禁	bu4 jin1
不离儿	bu4 li2 r5
不粘锅	bu4 zhan1 guo1
不自在	bu4 zi4 zai5
不舍	bu4 she3
不舒服	bu4 shu1 fu5
不菲	bu4 fei3
不见经传	bu4 jian4 jing1 zhuan4
不调和	bu4 tiao2 he2
不败之地	bu4 bai4 zhi1 di4
不起眼儿	bu4 qi3 yan3 r5
不足为奇	bu4 zu2 wei2 qi2
不足为怪	bu4 zu2 wei2 guai4
不足为虑	bu4 zu2 wei2 lv4
不足为训	bu4 zu2 wei2 xun4
不足为道	bu4 zu2 wei2 dao4
不适当	bu4 shi4 dang4
不长眼睛	bu4 zhang3 yan3 jing5
不长进	bu4 zhang3 jin4
与人为善	yu3 ren2 wei2 shan4
与会	yu4 hui4
与时消息	yu3 shi2 xiao1 xi5
丑相	chou3 xiang4
丑角	chou3 jue2
专横	zhuan1 heng4
专题地图	zhuan1 ti2 di4 tu2
世子	shi4 zi3
世故	shi4 gu5
世界各地	shi4 jie4 ge4 di4
世相	shi4 xiang4
丙子	bing3 zi3
东西	dong1 xi5
东边	dong1 bian5
东边儿	dong1 bian1 r5
东鳞西爪	dong1 lin2 xi1 zhao3
丝柏	si1 bo2
丞相	cheng2 xiang4
丢三落四	diu1 san1 la4 si4
两侧对称	liang3 ce4 dui4 chen4
两口儿	liang3 kou3 r5
两头儿	liang3 tou2 r5
两岸三地	liang3 an4 san1 di4
两性离子	liang3 xing4 li2 zi3
两样东西	liang3 yang4 dong1 xi5
两重	liang3 chong2
两重天	liang3 chong2 tian1
严了眼儿	yan2 le5 yan3 r5
严实	yan2 shi5
丧乱	sang1 luan4
丧事	sang1 shi4
丧仪	sang1 yi2
丧假	sang1 jia4
丧尸	sang1 shi1
丧服	sang1 fu2
丧棒	sang1 bang4
丧礼	sang1 li3
丧荒	sang1 huang1
丧葬	sang1 zang4
丧葬费	sang1 zang4 fei4
丧钟	sang1 zhong1
丧门神	sang1 men2 shen2
个儿	ge4 r5
个头儿	ge4 tou2 r5
丫头	ya1 tou5
丫头片子	ya1 tou5 pian4 zi5
丫巴儿	ya1 ba1 r5
丫环	ya1 huan5
丫鬟	ya1 huan5
中举	zhong4 ju3
中乐透	zhong4 le4 tou4
中伤	zhong4 shang1
中圈套	zhong4 quan1 tao4
中央空调	zhong1 yang1 kong1 tiao2
中央银行	zhong1 yang1 yin2 hang2
中奖	zhong4 jiang3
中子	zhong1 zi3
中子俘获	zhong1 zi3 fu2 huo4
中子弹	zhong1 zi3 dan4
中子数	zhong1 zi3 shu4
中子星	zhong1 zi3 xing1
中子源	zhong1 zi3 yuan2
中式	zhong4 shi4
中弹	zhong4 dan4
中彩	zhong4 cai3
中微子	zhong1 wei1 zi3
中心对称	zhong1 xin1 dui4 chen4
中意	zhong4 yi4
中招	zhong4 zhao1
中暑	zhong4 shu3
中枪	zhong4 qiang1
中标	zhong4 biao1
中毒	zhong4 du2
中毒性	zhong4 du2 xing4
中毒者	zhong4 du2 zhe3
中源地震	zhong1 yuan2 di4 zhen4
中的	zhong4 di4
中签	zhong4 qian1
中箭落马	zhong4 jian4 luo4 ma3
中肯	zhong4 ken3
中规中矩	zhong4 gui1 zhong4 ju3
中计	zhong4 ji4
中选	zhong4 xuan3
中邪	zhong4 xie2
中风	zhong4 feng1
中魔	zhong4 mo2
串供	chuan4 gong4
串处理	chuan4 chu3 li3
串行	chuan4 hang2
串门儿	chuan4 men2 r5
临了	lin2 liao3
临帖	lin2 tie4
临月儿	lin2 yue4 r5
临难	lin2 nan4
丹参	dan1 shen1
为上	wei2 shang4
为主	wei2 zhu3
为人	wei2 ren2
为人师表	wei2 ren2 shi1 biao3
为仁不富	wei2 ren2 bu4 fu4
为伍	wei2 wu3
为例	wei2 li4
为准	wei2 zhun3
为善最乐	wei2 shan4 zui4 le4
为夫	wei2 fu1
为害	wei2 hai4
为富不仁	wei2 fu4 bu4 ren2
为己任	wei2 ji3 ren4
为师	wei2 shi1
为德不卒	wei2 de2 bu4 zu2
为德不终	wei2 de2 bu4 zhong1
为所欲为	wei2 suo3 yu4 wei2
为数	wei2 shu4
为数不多	wei2 shu4 bu4 duo1
为时	wei2 shi2
为时不晚	wei2 shi2 bu4 wan3
为时已晚	wei2 shi2 yi3 wan3
为时未晚	wei2 shi2 wei4 wan3
为时过早	wei2 shi2 guo4 zao3
为期	wei2 qi1
为止	wei2 zhi3
为父	wei2 fu4
为生	wei2 sheng1
为重	wei2 zhong4
为难	wei2 nan2
为非作歹	wei2 fei1 zuo4 dai3
为首	wei2 shou3
主意	zhu3 yi5
主角	zhu3 jue2
主题曲	zhu3 ti2 qu3
久别重逢	jiu3 bie2 chong2 feng2
义子	yi4 zi3
乌拉	wu4 la5
乌拉草	wu4 la5 cao3
乌涂	wu1 tu5
乌漆抹黑	wu1 qi1 ma1 hei1
乌鱼子	wu1 yu2 zi3
乍暖还寒	zha4 nuan3 huan2 han2
乐儿	le4 r5
乐句	yue4 ju4
乐善好施	le4 shan4 hao4 shi1
乐器	yue4 qi4
乐团	yue4 tuan2
乐坛	yue4 tan2
乐师	yue4 shi1
乐府	yue4 fu3
